sweep,n,n1,n2,K,r,R0_1,R0_2,drop,TV_piece_vs_avg,KL_piece_vs_avg,MAP_piece,MAP_avg,MAP_changed,q_obs,TV_full_vs_thin,KL_full_vs_thin
R0_drop,100,10,90,1200,0.2,3.0,2.8499999999999996,0.05,8.462211986421527e-07,1.2709752932847526e-06,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,2.7,0.1,3.1435136179103794e-06,3.3394410219064254e-07,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,2.55,0.15,7.705246868343625e-06,6.917342409837282e-07,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,2.4000000000000004,0.2,1.4077709774812347e-05,2.739973344998773e-06,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,2.25,0.25,2.2887742821424267e-05,8.4986842248695e-07,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,2.0999999999999996,0.3,3.392023870320168e-05,3.4151113701291226e-08,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,1.9500000000000002,0.35,4.863565501294571e-05,1.3014041956516326e-07,99.0,99.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,1.7999999999999998,0.4,7.067008642978461e-05,1.5607260238184627e-07,98.0,98.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,1.5,0.5,0.0001379465204198408,8.504696305058641e-07,98.0,98.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,1.2000000000000002,0.6,0.0002453891014825686,4.732442186698439e-07,98.0,98.0,False,,,
R0_drop,100,10,90,1200,0.2,3.0,0.9000000000000001,0.7,0.00042663781202632726,8.18987483032984e-07,97.0,97.0,False,,,
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.98,0.0071261401835863766,0.00018329708685932249
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.95,0.01808158021960606,0.001170577714076946
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.9,0.037076481249975465,0.004864144088219335
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.85,0.05703459145060075,0.011389918147238463
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.8,0.0780089392857683,0.021113304990566004
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.75,0.10005525890017292,0.03447065013880432
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.7,0.12323319101284244,0.051989522710097075
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.65,0.14760570396471123,0.07431446923471571
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.6,0.17323910267188655,0.10224657720634986
q_obs,61,10,90,1200,0.2,3.0,2.4000000000000004,0.2,,,,,,0.55,0.2002041007398457,0.13680102132881414
